median,lci,uci,efficiency,failure_to_report,insurance_loss
12134.937800538319,2484.3634034002434,25006.246103253212,0.05,0.73,8263186.7017035
12301.169825203193,2518.3957787893337,25348.797419736075,0.05,0.74,8376381.040083
12467.401849868125,2552.4281541784267,25691.34873621905,0.05,0.75,8489575.3784625
12633.633874533116,2586.4605295672927,26033.900052702025,0.05,0.76,8602769.716842001
12799.86589919799,2620.492904956502,26376.451369184782,0.05,0.77,8715964.0552215
12966.097923862806,2654.5252803453627,26719.002685667754,0.05,0.78,8829158.393601
13132.329948527797,2688.557655734572,27061.554002150733,0.05,0.79,8942352.7319805
13298.561973192729,2722.590031123435,27404.10531863371,0.05,0.8,9055547.070360001
13464.793997857603,2756.6224065126416,27746.65663511657,0.05,0.81,9168741.408739502
13631.026022522536,2790.6547819016214,28089.207951599547,0.05,0.8200000000000001,9281935.747119002
13797.25804718741,2824.687157290717,28431.7592680823,0.05,0.8300000000000001,9395130.0854985
13963.4900718524,2858.719532679691,28774.310584565275,0.05,0.8400000000000001,9508324.423878001
14129.722096517216,2892.751908068787,29116.86190104825,0.05,0.8500000000000001,9621518.762257501
14295.95412118209,2926.7842834577636,29459.41321753111,0.05,0.86,9734713.100637
14462.186145847081,2960.816658846976,29801.964534014205,0.05,0.87,9847907.4390165
14628.418170511955,2994.8490342358364,30144.515850497064,0.05,0.88,9961101.777396
14794.650195176888,3028.8814096250458,30487.067166979818,0.05,0.89,10074296.115775501
14960.882219841762,3062.913785013906,30829.618483462793,0.05,0.9,10187490.454155
8283.153444504249,1695.7947062046326,17068.943982151606,0.06,0.5,5640345.62977
8448.816513394297,1729.7106003287454,17410.32286179464,0.06,0.51,5753152.5423654
8614.47958228446,1763.6264944527416,17751.70174143756,0.06,0.52,5865959.454960801
8780.14265117445,1797.5423885768544,18093.08062108071,0.06,0.53,5978766.3675562
8945.805720064498,1831.4582827009729,18434.459500723737,0.06,0.54,6091573.280151601
9111.468788954662,1865.3741768250854,18775.83838036666,0.06,0.55,6204380.192747001
9277.131857844826,1899.2900709491923,19117.21726000969,0.06,0.56,6317187.105342401
9442.794926734932,1933.2059650731944,19458.59613965295,0.06,0.5700000000000001,6429994.017937801
9608.45799562498,1967.1218591974207,19799.975019295867,0.06,0.58,6542800.9305332005
9774.121064515028,2001.0377533215333,20141.353898938898,0.06,0.59,6655607.8431286
9939.784133405075,2034.9536474455383,20482.73277858193,0.06,0.6,6768414.755724001
10105.447202295181,2068.869541569645,20824.111658224963,0.06,0.61,6881221.6683194
10271.110271185287,2102.7854356937605,21165.490537868107,0.06,0.62,6994028.580914801
10436.773340075393,2136.70132981776,21506.869417511138,0.06,0.63,7106835.493510201
10602.4364089655,2170.6172239418725,21848.248297154176,0.06,0.64,7219642.4061056
